Date,TYO,F,GM,HMC,STLA
2015-04-21,16.9101,15.82,37.16,35.32,16.27
2015-04-22,17.2,15.91,37.16,35.47,16.29
2015-04-23,17.05,15.76,35.92,36.1,16.08
2015-04-24,16.87,15.77,35.59,36.36,16.19
2015-04-27,16.856,15.9,35.78,36.22,16.53
2015-04-28,17.16,16.06,35.72,33.76,16.27
2015-04-29,17.34,16.02,35.51,33.48,15.37
2015-04-30,17.261,15.8,35.06,33.53,14.75
2015-05-01,17.67,15.81,35.42,34.22,14.65
2015-05-04,17.7874,15.78,35.4,34.24,14.8
2015-05-05,17.92,15.53,35.01,33.75,14.7
2015-05-06,18.08,15.48,34.77,33.82,14.33
2015-05-07,17.91,15.51,34.88,34.21,14.83
2015-05-08,17.921,15.67,35.32,35.37,15.13
2015-05-11,18.22,15.65,35.22,34.93,14.98
2015-05-12,18.1871,15.56,34.74,34.64,14.8
2015-05-13,18.1,15.41,34.8,34.76,15.04
2015-05-14,18.09,15.27,34.65,35.08,15.31
2015-05-15,17.64,15.48,34.91,35.0,15.45
2015-05-18,17.98,15.58,35.05,35.2,15.47
2015-05-19,18.19,15.5,35.12,34.86,15.6
2015-05-20,17.9801,15.3,35.02,34.65,15.75
2015-05-21,17.74,15.51,35.58,34.14,15.87
2015-05-22,17.84,15.27,35.7,34.12,15.94
2015-05-26,17.56,15.19,35.52,33.98,15.74
2015-05-27,17.5,15.32,35.81,34.34,16.06
2015-05-28,17.612,15.29,36.39,34.59,16.14
2015-05-29,17.5899,15.17,35.97,34.22,16.03
2015-06-01,17.82,15.36,36.18,34.27,16.29
2015-06-02,18.081,15.26,36.22,33.9,16.16
2015-06-03,18.53,15.2,35.94,34.5,16.31
2015-06-04,18.235,15.05,35.54,34.03,16.08
2015-06-05,18.5856,14.78,35.12,33.83,15.65
2015-06-08,18.5064,14.9,34.99,33.68,15.59
2015-06-09,18.74,14.88,35.26,33.41,15.29
2015-06-10,18.95,15.03,35.59,33.9,15.71
2015-06-11,18.54,15.28,35.55,33.86,15.85
2015-06-12,18.54,15.23,35.71,33.16,15.92
2015-06-15,18.3675,15.05,35.46,32.92,15.51
2015-06-16,18.2299,15.0,35.61,32.72,15.5
2015-06-17,18.1354,15.02,35.81,32.61,15.19
2015-06-18,18.24,15.14,36.2,32.53,15.42
2015-06-19,17.9,15.11,36.11,32.48,15.19
2015-06-22,18.34,15.13,36.19,33.13,15.57
2015-06-23,18.53,15.29,36.3,33.51,15.79
2015-06-24,18.3379,15.5,35.16,32.59,15.47
2015-06-25,18.459,15.44,34.7,32.76,15.39
2015-06-26,18.76,15.4,34.38,32.88,15.59
2015-06-29,18.11,15.02,33.23,32.0,14.53
2015-06-30,18.25,15.01,33.33,32.4,14.53
2015-07-01,18.45,14.99,33.04,31.88,14.63
2015-07-02,18.34,14.87,33.23,32.65,14.29
2015-07-06,17.902,14.79,32.65,32.44,14.05
2015-07-07,17.7943,14.85,32.86,32.24,14.12
2015-07-08,17.6599,14.37,31.19,31.04,13.62
2015-07-09,17.86,14.33,31.01,31.3,13.94
2015-07-10,18.276,14.48,31.4,31.68,14.47
2015-07-13,18.42,14.64,31.68,31.71,14.59
2015-07-14,18.2,14.81,31.77,32.06,14.53
2015-07-15,18.005,14.75,31.43,32.24,14.83
2015-07-16,17.9996,14.57,30.61,32.11,15.22
2015-07-17,18.0525,14.69,30.65,32.13,15.48
2015-07-20,18.122,14.57,30.5,32.2,15.47
2015-07-21,17.9921,14.51,30.39,31.5,15.53
2015-07-22,17.87,14.42,30.3,31.57,15.51
2015-07-23,17.69,14.61,31.5,31.44,15.54
2015-07-24,17.6643,14.39,31.06,31.09,15.15
2015-07-27,17.51,14.55,31.05,31.15,14.41
2015-07-28,17.5747,14.83,31.32,31.16,14.93
2015-07-29,17.6999,15.21,31.95,31.43,14.52
2015-07-30,17.62,15.1,31.91,31.65,15.58
2015-07-31,17.3,14.83,31.51,33.96,15.8
2015-08-03,17.18,14.94,31.68,34.64,16.14
2015-08-04,17.3801,14.91,31.52,34.63,16.19
2015-08-05,17.6,14.8,31.6,35.01,16.19
2015-08-06,17.5099,14.83,31.86,35.57,16.23
2015-08-07,17.2499,14.8,31.74,35.25,16.35
2015-08-10,17.39,14.99,31.94,35.62,16.56
2015-08-11,17.0001,14.7,30.83,34.93,16.36
2015-08-12,17.05,14.68,30.87,34.49,15.38
2015-08-13,17.22,14.71,31.06,34.55,15.64
2015-08-14,17.24,14.78,31.49,34.08,15.59
2015-08-17,17.1,14.68,31.61,34.12,15.46
2015-08-18,17.26,14.83,31.71,33.95,15.32
2015-08-19,16.95,14.77,31.63,33.49,15.09
2015-08-20,16.8199,14.43,30.84,32.36,14.62
2015-08-21,16.64,13.86,29.6,31.51,14.57
2015-08-24,16.565,13.19,27.8,30.25,13.74
2015-08-25,16.89,12.9,27.28,29.98,14.04
2015-08-26,17.04,13.21,28.1,31.09,14.45
2015-08-27,17.03,13.56,28.58,31.37,14.4
2015-08-28,17.01,13.74,29.0,31.92,14.34
2015-08-31,17.02,13.87,29.44,31.48,14.13
2015-09-01,16.98,13.72,28.64,30.22,13.65
2015-09-02,17.02,13.87,29.21,30.81,13.8
2015-09-03,16.9076,13.84,29.11,30.94,13.87
2015-09-04,16.75,13.56,28.88,30.1,13.6
2015-09-08,17.0,13.67,29.88,31.24,14.56
2015-09-09,17.0,13.53,29.62,31.07,14.41
2015-09-10,17.092,13.73,30.0,30.86,14.59
2015-09-11,16.92,13.71,30.15,30.74,14.57
2015-09-14,16.872,13.78,30.72,30.59,14.33
2015-09-15,17.2,14.31,30.99,31.15,14.82
2015-09-16,17.2745,14.64,31.2,32.12,14.89
2015-09-17,16.96,14.6,31.31,31.9,15.12
2015-09-18,16.62,14.28,30.51,31.19,14.51
2015-09-21,16.9,14.32,30.62,31.36,14.13
2015-09-22,16.9,13.92,30.03,30.76,13.33
2015-09-23,16.7338,13.68,29.72,30.77,13.68
2015-09-24,16.62,13.65,29.44,30.7,13.1
2015-09-25,16.75,13.53,29.41,30.54,12.98
2015-09-28,16.47,13.12,28.56,29.65,12.35
2015-09-29,16.29,13.15,29.15,29.48,12.21
2015-09-30,16.2901,13.57,30.02,29.9,13.21
2015-10-01,16.28,13.67,30.67,30.01,13.52
2015-10-02,16.05,13.99,31.73,30.52,14.03
2015-10-05,16.386,14.19,31.76,30.85,14.22
2015-10-06,16.18,14.31,32.22,30.75,14.25
